# f_tr_MHz W0.84 W1.0 W1.2 W1.5 W2.0 W3.0
10 1.27363 0.931403 0.670236 0.618117 0.746645 0.898245
20 1.70055 1.44168 1.22146 1.05815 1.06362 1.07729
50 3.6135 3.26722 2.93784 2.50103 2.34227 2.17893
100 6.87921 6.28912 5.72805 4.89029 4.53472 4.16725
200 13.0087 11.9284 10.9559 9.44469 8.75249 8.06247
500 28.8077 26.4856 24.5864 21.5891 20.06 18.6991
1000 50.2988 46.0964 43.0507 38.4167 35.9107 33.9479
